"filename", "language", "Python", "Batch", "Markdown", "HTML", "JSON", "JSON with Comments", "XML", "CSV", "pip requirements", "comment", "blank", "total"
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\.idea\CkDialogDocGen.iml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\.idea\csv-plugin.xml", "XML", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 86
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\.idea\encodings.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\App\Db\Actors.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\App\Db\Comments.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 1, 106
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\App\Db\SceneOrder.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\App\Misc\LICENSE.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\App\Pages\md_to_html.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\App\Pages\sample.html", "HTML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\App\Pages\tutorial.html", "HTML", 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 2, 178
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\App\Pages\tutorial.md", "Markdown", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 85, 178
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\App\settings.backup.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\App\settings.json", "JSON with Comments", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\CKQuestDialogManager.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 32
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\CsvDicEditorApp.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Gui\AboutWindow.py", "Python", 54, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 62
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Gui\AppEditorCmd.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Gui\AppInfo.py", "Python", 124, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 145
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Gui\AudioData.py", "Python", 106, 0, 0, 0, 0, 0, 0, 0, 0, 23, 18, 147
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Gui\AudioLogicLayer.py", "Python", 480, 0, 0, 0, 0, 0, 0, 0, 0, 134, 34, 648
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Gui\AudioWindow.py", "Python", 354, 0, 0, 0, 0, 0, 0, 0, 0, 92, 30, 476
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Gui\CkLogicLayer.py", "Python", 278, 0, 0, 0, 0, 0, 0, 0, 0, 14, 23, 315
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Gui\CsvReorderWindow.py", "Python", 118, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 138
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Gui\LicenseWindow.py", "Python", 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 65
"c:\Users\Usuario\PycharmProjects\CkDialogDocGen\Gui\MainWindow.py", "Python", 110, 0, 0, 0, 0, 0, 0, 0, 0, 23, 3, 136
